Title,Release Date,Language
I'll Get By,1950,American
In a Lonely Place,1950,American
Indian Territory,1950,American
The Iroquois Trail,1950,American
It's a Small World,1950,American
The Jackie Robinson Story,1950,American
The Jackpot,1950,American
Jiggs and Maggie Out West,1950,American
Joe Palooka in Humphrey Takes a Chance,1950,American
Joe Palooka in the Squared Circle,1950,American
Joe Palooka Meets Humphrey,1950,American
Johnny One-Eye,1950,American
The Kangaroo Kid,1950,American
Kansas Raiders,1950,American
Key to the City,1950,American
The Kid from Texas ,1950,American
Kill or Be Killed,1950,American
Kill the Umpire,1950,American
Killer Shark,1950,American
The Killer That Stalked New York,1950,American
King of the Bullwhip,1950,American
King Solomon's Mines,1950,American
Kiss Tomorrow Goodbye,1950,American
A Lady Without Passport,1950,American
Last of the Buccaneers,1950,American
Law of the Badlands,1950,American
Law of the Panhandle,1950,American
The Lawless,1950,American
Let's Dance,1950,American
A Life of Her Own,1950,American
Lightning Guns,1950,American
Lonely Heart Bandits,1950,American
The Lost Volcano,1950,American
Love Happy,1950,American
Love That Brute,1950,American
Lucky Losers,1950,American
Ma and Pa Kettle Go to Town,1950,American
The Magnificent Yankee,1950,American
The Man Who Cheated Himself,1950,American
Mark of the Gorilla,1950,American
Marshal of Heldorado,1950,American
The Men,1950,American
Military Academy,1950,American
The Milkman,1950,American
The Miniver Story,1950,American
The Missourians,1950,American
Mister 880,1950,American
A Modern Marriage,1950,American
Mother Didn't Tell Me,1950,American
Motor Patrol,1950,American
Mr. Music,1950,American
Mrs. O'Malley and Mr. Malone,1950,American
The Mudlark,1950,American
Mule Train,1950,American
My Blue Heaven,1950,American
My Friend Irma Goes West,1950,American
Mystery Street,1950,American
Mystery Submarine,1950,American
Nancy Goes to Rio,1950,American
The Nevadan,1950,American
Never a Dull Moment,1950,American
The Next Voice You Hear...,1950,American
Night and the City,1950,American
No Man of Her Own,1950,American
North of the Great Divide,1950,American
No Sad Songs for Me,1950,American
No Way Out,1950,American
The Old Frontier,1950,American
On the Isle of Samoa,1950,American
Once a Thief,1950,American
One Too Many,1950,American
One Way Street,1950,American
Operation Haylift,1950,American
Our Very Own,1950,American
Outcast of Black Mesa,1950,American
Outlaw Gold,1950,American
Outlaws of Texas,1950,American
The Outriders,1950,American
Outside the Wall,1950,American
Over the Border,1950,American
Paid in Full,1950,American
Pagan Love Song,1950,American
The Palomino,1950,American
Panic in the Streets,1950,American
Perfect Strangers,1950,American
The Petty Girl,1950,American
Please Believe Me,1950,American
Prehistoric Women,1950,American
Pretty Baby,1950,American
Prisoners in Petticoats,1950,American
Pygmy Island,1950,American
Radar Secret Service,1950,American
Raiders of Tomahawk Creek,1950,American
Redwood Forest Trail,1950,American
The Reformer and the Redhead,1950,American
Return of the Frontiersman,1950,American
The Return of Jesse James,1950,American
Revenue Agent,1950,American
Rider from Tucson,1950,American
Riding High,1950,American
Right Cross,1950,American
Rio Grande,1950,American
Rio Grande Patrol,1950,American
Rocketship X-M,1950,American
Rock Island Trail,1950,American
Rocky Mountain,1950,American
Rogues of Sherwood Forest,1950,American
Rookie Fireman,1950,American
Rustlers on Horseback,1950,American
Saddle Tramp,1950,American
Salt Lake Raiders,1950,American
The Savage Horde,1950,American
Second Chance,1950,American
The Second Face,1950,American
The Second Woman,1950,American
The Secret Fury,1950,American
September Affair,1950,American
Shadow on the Wall,1950,American
Short Grass,1950,American
The Showdown,1950,American
Side Street,1950,American
Sierra Passage,1950,American
The Silver Bandit,1950,American
Silver Raiders,1950,American
Singing Guns,1950,American
Six Gun Mesa,1950,American
The Skipper Surprised His Wife,1950,American
The Sleeping City,1950,American
Snow Dog,1950,American
"So Young, So Bad",1950,American
The Sound of Fury,1950,American
South Sea Sinner,1950,American
Southside 1-1000,1950,American
Spy Hunt,1950,American
Square Dance Katy,1950,American
Stage to Tucson,1950,American
Stars In My Crown,1950,American
State Penitentiary,1950,American
Storm over Wyoming,1950,American
Streets of Ghost Town,1950,American
Summer Stock,1950,American
Sunset Boulevard,1950,American
Sunset in the West,1950,American
The Sun Sets at Dawn,1950,American
The Sundowners,1950,American
Swiss Tour,1950,American
Tarzan and the Slave Girl,1950,American
The Tattooed Stranger,1950,American
Tea for Two,1950,American
The Texan Meets Calamity Jane,1950,American
Texas Dynamo,1950,American
The Third Man,1950,American
This Side of the Law,1950,American
Three Came Home,1950,American
Three Little Words,1950,American
Three Secrets,1950,American
A Ticket to Tomahawk,1950,American
Timber Fury,1950,American
To Please a Lady,1950,American
The Toast of New Orleans,1950,American
The Torch,1950,American
The Tougher They Come,1950,American
Trail of Robin Hood,1950,American
Trail of the Rustlers,1950,American
Train to Tombstone,1950,American
The Traveling Saleswoman,1950,American
Treasure Island,1950,American
Trial Without Jury,1950,American
"Trigger, Jr.",1950,American
Triple Trouble,1950,American
Twilight in the Sierras,1950,American
Two Flags West,1950,American
Two Weeks with Love,1950,American
Tyrant of the Sea,1950,American
Under Mexicali Stars,1950,American
Under My Skin,1950,American
Undercover Girl,1950,American
The Underworld Story,1950,American
Union Station,1950,American
The Vanishing Westerner,1950,American
The Vicious Years,1950,American
Vigilante Hideout,1950,American
Wabash Avenue,1950,American
Wagon Master,1950,American
"Walk Softly, Stranger",1950,American
Watch the Birdie,1950,American
West of the Brazos,1950,American
West of Wyoming,1950,American
The West Point Story,1950,American
Western Pacific Agent,1950,American
When Willie Comes Marching Home,1950,American
When You're Smiling,1950,American
Where Danger Lives,1950,American
Where the Sidewalk Ends,1950,American
The White Tower,1950,American
The Wild Heart,1950,American
Winchester '73,1950,American
A Woman of Distinction,1950,American
Woman in Hiding,1950,American
Woman on the Run,1950,American
Women from Headquarters,1950,American
Wyoming Mail,1950,American
The Yellow Cab Man,1950,American
Young Daniel Boone,1950,American
Young Man with a Horn,1950,American
The Crime of Korea,1950,American
The Hollywood Ten,1950,American
The Titan: Story of Michelangelo,1950,American
Why Korea?,1950,American
With These Hands,1950,American
Atom Man vs. Superman,1950,American
Cody of the Pony Express,1950,American
Desperadoes of the West,1950,American
Flying Disc Man from Mars,1950,American
The Invisible Monster,1950,American
Pirates of the High Seas,1950,American
Big House Bunny,1950,American
Boobs in the Woods,1950,American
The Brave Engineer,1950,American
Bushy Hare,1950,American
Canary Row,1950,American
Cue Ball Cat,1950,American
A Date with Your Family,1950,American
Dopey Dicks,1950,American
The Ducksters,1950,American
A Fractured Leghorn,1950,American
The Framed Cat,1950,American
Golden Yeggs,1950,American
Grandad of Races,1950,American
Hillbilly Hare,1950,American
Homeless Hare,1950,American
Hugs and Mugs,1950,American
Hurdy-Gurdy Hare,1950,American
In Beaver Valley,1950,American
Jerry and the Lion,1950,American
Jerry's Cousin,1950,American
Little Quacker,1950,American
Love at First Bite,1950,American
Motor Mania,1950,American
Mutiny on the Bunny,1950,American
Pop 'im Pop,1950,American
Punchy Cowpunchers,1950,American
Puny Express,1950,American
Rabbit of Seville,1950,American
Rabbit's Moon,1950,American
Safety Second,1950,American
Saturday Evening Puss,1950,American
The Scarlet Pumpernickel,1950,American
Self-Made Maids,1950,American
Slaphappy Sleuths,1950,American
A Snitch in Time,1950,American
The Stairs,1950,American
Strife with Father,1950,American
Studio Stoops,1950,American
Sugar Chile Robinson,1950,American
Texas Tom,1950,American
Three Hams on Rye,1950,American
Tom and Jerry in the Hollywood Bowl,1950,American
"What's Up, Doc?",1950,American
The Wizard of Oz (TV special),1950,American
The 49th Man,1953,American
"The 5,000 Fingers of Dr. T",1953,American
Abbott and Costello Go to Mars,1953,American
Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,1953,American
Act of Love,1953,American
The Actress,1953,American
The Affairs of Dobie Gillis,1953,American
Affair with a Stranger,1953,American
The All American,1953,American
All Ashore,1953,American
All I Desire,1953,American
All the Brothers Were Valiant,1953,American
Ambush at Tomahawk Gap,1953,American
Angel Face,1953,American
Appointment in Honduras,1953,American
Back to God's Country,1953,American
Bad for Each Other,1953,American
The Bandits of Corsica,1953,American
Bandits of the West,1953,American
The Band Wagon,1953,American
Battle Circus,1953,American
"The Beast from 20,000 Fathoms",1953,American
Beat the Devil,1953,American
Beneath the 12-Mile Reef,1953,American
The Bigamist,1953,American
The Big Heat,1953,American
Big Leaguer,1953,American
Blowing Wild,1953,American
The Blue Gardenia,1953,American
A Blueprint for Murder,1953,American
Born to the Saddle,1953,American
Botany Bay,1953,American
Bright Road,1953,American
By the Light of the Silvery Moon,1953,American
The Caddy,1953,American
Calamity Jane,1953,American
Call Me Madam,1953,American
Captain John Smith and Pocahontas,1953,American
Captain Scarlett,1953,American
Cat-Women of the Moon,1953,American
Cease Fire!,1953,American
Champ for a Day,1953,American
The Charge at Feather River,1953,American
China Venture,1953,American
City Beneath the Sea,1953,American
City of Bad Men,1953,American
City That Never Sleeps,1953,American
Clipped Wings,1953,American
The Clown,1953,American
Code Two,1953,American
Column South,1953,American
Combat Squad,1953,American
Confidentially Connie,1953,American
Conquest of Cochise,1953,American
Count the Hours,1953,American
Cow Country,1953,American
Cruisin' Down the River,1953,American
Cry of the Hunted,1953,American
Dance Hall Racket,1953,American
Dangerous Crossing,1953,American
Dangerous When Wet,1953,American
Decameron Nights,1953,American
Desert Legion,1953,American
The Desert Rats,1953,American
The Desert Song,1953,American
Destination Gobi,1953,American
Devil's Canyon,1953,American
The Diamond Queen,1953,American
Down Laredo Way,1953,American
Donovan's Brain,1953,American
Down Among the Sheltering Palms,1953,American
Dream Wife,1953,American
East of Sumatra,1953,American
Easy to Love,1953,American
The Eddie Cantor Story,1953,American
El Alamein,1953,American
El Paso Stampede,1953,American
Escape from Fort Bravo,1953,American
Fair Wind to Java,1953,American
Fangs of the Arctic,1953,American
The Farmer Takes a Wife,1953,American
Fast Company,1953,American
Fear and Desire,1953,American
Fighter Attack,1953,American
Fighting Lawman,1953,American
Flame of Calcutta,1953,American
The Flaming Urge,1953,American
Flight Nurse,1953,American
Flight to Tangier,1953,American
Forever Female,1953,American
Fort Ti,1953,American
Fort Vengeance,1953,American
Francis Covers the Big Town,1953,American
From Here to Eternity,1953,American
Gentlemen Prefer Blondes,1953,American
The Girl Next Door,1953,American
The Girl Who Had Everything,1953,American
Girls in the Night,1953,American
The Girls of Pleasure Island,1953,American
Give a Girl a Break,1953,American
The Glass Wall,1953,American
The Glass Web,1953,American
The Glory Brigade,1953,American
Glen or Glenda,1953,American
The Golden Blade,1953,American
Goldtown Ghost Riders,1953,American
The Great Jesse James Raid,1953,American
The Great Sioux Uprising,1953,American
Guerrilla Girl,1953,American
Gun Belt,1953,American
Gun Fury,1953,American
Half a Hero,1953,American
Hannah Lee,1953,American
Here Come the Girls,1953,American
The Hitch-Hiker,1953,American
The Homesteaders,1953,American
Hot News,1953,American
House of Wax,1953,American
How to Marry a Millionaire,1953,American
I Confess,1953,American
The I Don't Care Girl,1953,American
I Love Lucy,1953,American
I Love Melvin,1953,American
"I, the Jury",1953,American
Invaders from Mars,1953,American
Iron Mountain Trail,1953,American
Island in the Sky,1953,American
It Came from Outer Space,1953,American
It Happens Every Thursday,1953,American
"Jack McCall, Desperado",1953,American
Jamaica Run,1953,American
The Joe Louis Story,1953,American
The Juggler,1953,American
Julius Caesar,1953,American
Kansas Pacific,1953,American
The Kid from Left Field,1953,American
Killer Ape,1953,American
King of the Khyber Rifles,1953,American
Kiss Me Kate,1953,American
Knights of the Round Table,1953,American
The Lady Wants Mink,1953,American
Last of the Comanches,1953,American
Last of the Pony Riders,1953,American
The Last Posse,1953,American
Latin Lovers,1953,American
Law and Order,1953,American
The Lawless Breed,1953,American
Let's Do It Again,1953,American
A Lion Is in the Streets,1953,American
Little Boy Lost,1953,American
Little Fugitive,1953,American
The Lone Hand,1953,American
Loose in London,1953,American
The Lost Planet,1953,American
Ma and Pa Kettle on Vacation,1953,American
The Magnetic Monster,1953,American
Main Street to Broadway,1953,American
The Man Behind the Gun,1953,American
Man Crazy,1953,American
The Man from Cairo,1953,American
The Man from the Alamo,1953,American
Man in the Attic,1953,American
Man in the Dark,1953,American
Man of Conflict,1953,American
Man on a Tightrope,1953,American
The Marksman,1953,American
Marry Me Again,1953,American
Marshal of Cedar Rock,1953,American
The Marshal's Daughter,1953,American
Martin Luther,1953,American
The Maze,1953,American
Meet Me at the Fair,1953,American
Mesa of Lost Women,1953,American
Mexican Manhunt,1953,American
Miss Sadie Thompson,1953,American
Mission Over Korea,1953,American
The Mississippi Gambler,1953,American
Mister Scoutmaster,1953,American
Money from Home,1953,American
The Moon Is Blue,1953,American
The Moonlighter,1953,American
Murder Without Tears,1953,American
The Naked Spur,1953,American
The Neanderthal Man,1953,American
The Nebraskan,1953,American
Never Wave at a WAC,1953,American
No Escape,1953,American
Northern Patrol,1953,American
Off Limits,1953,American
Old Overland Trail,1953,American
On Top of Old Smoky,1953,American
One Girl's Confession,1953,American
Pack Train,1953,American
Paris Model,1953,American
A Perilous Journey,1953,American
Perils of the Jungle,1953,American
Peter Pan,1953,American
Phantom from Space,1953,American
Pickup on South Street,1953,American
Plunder of the Sun,1953,American
Pony Express,1953,American
Port Sinister,1953,American
Powder River,1953,American
The President's Lady,1953,American
Prince of Pirates,1953,American
Prisoners of the Casbah,1953,American
Private Eyes,1953,American
Problem Girls,1953,American
Project Moonbase,1953,American
Raiders of the Seven Seas,1953,American
Rebel City,1953,American
The Redhead from Wyoming,1953,American
Red River Shore,1953,American
Remains to Be Seen,1953,American
Return to Paradise,1953,American
"Ride, Vaquero!",1953,American
Roar of the Crowd,1953,American
"Rob Roy, the Highland Rogue",1953,American
The Robe,1953,American
Robot Monster,1953,American
Rogue's March,1953,American
Roman Holiday,1953,American
The Royal African Rifles,1953,American
Run for the Hills,1953,American
Sabre Jet,1953,American
Safari Drums,1953,American
Saginaw Trail,1953,American
San Antone,1953,American
Savage Frontier,1953,American
Savage Mutiny,1953,American
Scandal at Scourie,1953,American
Scared Stiff,1953,American
Sea Devils,1953,American
Sea of Lost Ships,1953,American
Second Chance,1953,American
Serpent of the Nile,1953,American
Shadows of Tombstone,1953,American
Shark River,1953,American
She's Back on Broadway,1953,American
The Silver Whip,1953,American
Sins of Jezebel,1953,American
Siren of Bagdad,1953,American
Sky Commando,1953,American
Slaves of Babylon,1953,American
A Slight Case of Larceny,1953,American
Small Town Girl,1953,American
So Big,1953,American
Son of Belle Starr,1953,American
So This Is Love,1953,American
South Sea Woman,1953,American
Split Second,1953,American
Stalag 17,1953,American
The Stand at Apache River,1953,American
The Stars Are Singing,1953,American
Star of Texas,1953,American
The Steel Lady,1953,American
The Story of Three Loves,1953,American
The Stranger Wore a Gun,1953,American
The Sun Shines Bright,1953,American
Sweethearts on Parade,1953,American
The Sword and the Rose,1953,American
Sword of Venus,1953,American
The System,1953,American
Take Me to Town,1953,American
Take the High Ground!,1953,American
The Tall Texan,1953,American
Tangier Incident,1953,American
Target Hong Kong,1953,American
Tarzan and the She-Devil,1953,American
Terminal Station,1953,American
Texas Bad Man,1953,American
That Man from Tangier,1953,American
Those Redheads from Seattle,1953,American
Three Sailors and a Girl,1953,American
Thunder Bay,1953,American
Thunder Over the Plains,1953,American
Thy Neighbor's Wife,1953,American
Time Bomb,1953,American
Tonight We Sing,1953,American
Torch Song,1953,American
Trail Blazers,1953,American
Treasure of the Golden Condor,1953,American
Tropic Zone,1953,American
Trouble Along the Way,1953,American
The Twonky,1953,American
Valley of the Head Hunters,1953,American
The Vanquished,1953,American
The Veils of Bagdad,1953,American
Vice Squad,1953,American
Vigilante Terror,1953,American
Walking My Baby Back Home,1953,American
War Paint,1953,American
The War of the Worlds,1953,American
White Lightning,1953,American
White Witch Doctor,1953,American
Wicked Woman,1953,American
The Wild One,1953,American
Wings of the Hawk,1953,American
Winning of the West,1953,American
Woman They Almost Lynched,1953,American
Young Bess,1953,American
The Living Desert,1953,American
Canadian Mounties vs Atomic Invaders,1953,American
Commando Cody: Sky Marshal of the Universe,1953,American
Jungle Drums of Africa,1953,American
All My Babies,1953,American
Baby Butch,1953,American
Ben and Me,1953,American
Bully for Bugs,1953,American
Cat-Tails for Two,1953,American
Catty Cornered,1953,American
Designs on Jerry,1953,American
Don's Fountain of Youth,1953,American
Duck Dodgers,1953,American
"Duck! Rabbit, Duck!",1953,American
Johann Mouse,1953,American
Let's All Go to the Lobby,1953,American
Life with Tom,1953,American
Mouse for Sale,1953,American
Pup on a Picnic,1953,American
Puppy Tale,1953,American
The Seafarers,1953,American
The Simple Things,1953,American
Southern Fried Rabbit,1953,American
The Tell-Tale Heart,1953,American
"Toot, Whistle, Plunk and Boom",1953,American
7th Cavalry,1956,American
Accused of Murder,1956,American
Alexander the Great,1956,American
The Ambassador's Daughter,1956,American
Anything Goes,1956,American
Around the World in 80 Days,1956,American
At Gunpoint,1956,American
Autumn Leaves,1956,American
Away All Boats,1956,American
Baby Doll,1956,American
Back from Eternity,1956,American
The Bad Seed,1956,American
Battle Stations,1956,American
The Beast of Hollow Mountain,1956,American
Behind the High Wall,1956,American
The Benny Goodman Story,1956,American
The Best Things in Life Are Free,1956,American
Between Heaven and Hell,1956,American
Beyond Mombasa,1956,American
Beyond a Reasonable Doubt,1956,American
Bhowani Junction,1956,American
Bigger Than Life,1956,American
The Birds and the Bees,1956,American
The Black Sleep,1956,American
The Black Whip,1956,American
"Blackjack Ketchum, Desperado",1956,American
Blazing the Overland Trail,1956,American
The Bold and the Brave,1956,American
The Boss,1956,American
The Bottom of the Bottle,1956,American
The Brass Legend,1956,American
The Brave One,1956,American
The Broken Star,1956,American
Bundle of Joy,1956,American
The Burning Hills,1956,American
Bus Stop,1956,American
Calling Homicide,1956,American
Canyon River,1956,American
The Catered Affair,1956,American
Cha-Cha-Cha Boom!,1956,American
Come Next Spring,1956,American
The Come On,1956,American
Congo Crossing,1956,American
The Conqueror,1956,American
The Court Jester,1956,American
Crashing Las Vegas,1956,American
The Creature Walks Among Us,1956,American
Crime Against Joe,1956,American
Crime in the Streets,1956,American
Crowded Paradise,1956,American
A Cry in the Night,1956,American
"Curucu, Beast of the Amazon",1956,American
A Day of Fury,1956,American
D-Day the Sixth of June,1956,American
Dakota Incident,1956,American
"Dance with Me, Henry",1956,American
"Daniel Boone, Trail Blazer",1956,American
Davy Crockett and the River Pirates,1956,American
Death of a Scoundrel,1956,American
The Desperados Are in Town,1956,American
Dig That Uranium,1956,American
Don't Knock the Rock,1956,American
Earth vs. the Flying Saucers,1956,American
The Eddy Duchin Story,1956,American
Edge of Hell,1956,American
Emergency Hospital,1956,American
Everything but the Truth,1956,American
The Fastest Gun Alive,1956,American
Fighting Trouble,1956,American
Fire Maidens from Outer Space,1956,American
The First Texan,1956,American
The First Traveling Saleslady,1956,American
Flame of the Islands,1956,American
Flesh and the Spur,1956,American
Flight to Hong Kong,1956,American
Forbidden Planet,1956,American
Foreign Intrigue,1956,American
"Forever, Darling",1956,American
Friendly Persuasion,1956,American
Frontier Gambler,1956,American
Frontier Woman,1956,American
Full of Life,1956,American
Fury at Gunsight Pass,1956,American
Ghost Town,1956,American
The Girl Can't Help It,1956,American
The Girl He Left Behind,1956,American
Girls in Prison,1956,American
"Godzilla, King of the Monsters!",1956,American
"Good-bye, My Lady",1956,American
Great Day in the Morning,1956,American
The Great Locomotive Chase,1956,American
The Great American Pastime,1956,American
The Great Man,1956,American
Gun Brothers,1956,American
Gun the Man Down,1956,American
The Harder They Fall,1956,American
He Laughed Last,1956,American
Helen of Troy,1956,American
Hell on Frisco Bay,1956,American
Hidden Guns,1956,American
High Society,1956,American
Hilda Crane,1956,American
Hold Back the Night,1956,American
Hollywood or Bust,1956,American
Hot Blood,1956,American
Hot Cars,1956,American
Hot Rod Girl,1956,American
Hot Shots,1956,American
The Houston Story,1956,American
I Killed Wild Bill Hickok,1956,American
Indestructible Man,1956,American
The Indian Fighter,1956,American
Inside Detroit,1956,American
The Intimate Stranger,1956,American
Invasion of the Body Snatchers,1956,American
Invitation to the Dance,1956,American
The Iron Petticoat,1956,American
It Conquered the World,1956,American
I've Lived Before,1956,American
Johnny Concho,1956,American
The Kettles in the Ozarks,1956,American
The Killer Is Loose,1956,American
The Killing,1956,American
The King and Four Queens,1956,American
The King and I,1956,American
A Kiss Before Dying,1956,American
The Last Hunt,1956,American
The Last Wagon,1956,American
The Leather Saint,1956,American
The Lieutenant Wore Skirts,1956,American
The Lone Ranger,1956,American
Love Me Tender,1956,American
Lust for Life,1956,American
Magnificent Roughnecks,1956,American
Man Beast,1956,American
Man from Del Rio,1956,American
The Man in the Gray Flannel Suit,1956,American
Man in the Vault,1956,American
The Man Is Armed,1956,American
The Man Who Knew Too Much,1956,American
The Man Who Never Was,1956,American
The Maverick Queen,1956,American
Meet Me in Las Vegas,1956,American
Menace from Outer Space,1956,American
Miami Exposé,1956,American
Miracle in the Rain,1956,American
"Mobs, Inc.",1956,American
Moby Dick,1956,American
The Mole People,1956,American
The Mountain,1956,American
Naked Gun,1956,American
Navy Wife,1956,American
Never Say Goodbye,1956,American
The Oklahoma Woman,1956,American
On the Threshold of Space,1956,American
The Opposite Sex,1956,American
Our Miss Brooks,1956,American
Outside the Law,1956,American
The Peacemaker,1956,American
Perils of the Wilderness,1956,American
Pillars of the Sky,1956,American
Please Murder Me,1956,American
The Power and the Prize,1956,American
The Price of Fear,1956,American
The Proud and Profane,1956,American
The Proud Ones,1956,American
"Quincannon, Frontier Scout",1956,American
The Rack,1956,American
The Rainmaker,1956,American
Raw Edge,1956,American
The Rawhide Years,1956,American
Rebel in Town,1956,American
Red Sundown,1956,American
The Revolt of Mamie Stover,1956,American
Ride the High Iron,1956,American
Rock Around the Clock,1956,American
"Rock, Pretty Baby",1956,American
"Rock, Rock, Rock",1956,American
Rumble on the Docks,1956,American
Runaway Daughters,1956,American
Running Target,1956,American
Run for the Sun,1956,American
Scandal Incorporated,1956,American
The Scarlet Hour,1956,American
Screaming Eagles,1956,American
The Search for Bridey Murphy,1956,American
The Searchers,1956,American
Secret of Treasure Mountain,1956,American
Seven Men from Now,1956,American
Seven Wonders of the World,1956,American
"Shake, Rattle & Rock!",1956,American
The Sharkfighters,1956,American
The She-Creature,1956,American
Showdown at Abilene,1956,American
Singing in the Dark,1956,American
Slightly Scarlet,1956,American
The Solid Gold Cadillac,1956,American
Somebody Up There Likes Me,1956,American
Stagecoach to Fury,1956,American
Star in the Dust,1956,American
The Steel Jungle,1956,American
Storm Center,1956,American
A Strange Adventure,1956,American
Strange Intruder,1956,American
Stranger at My Door,1956,American
The Swan,1956,American
Tea and Sympathy,1956,American
The Teahouse of the August Moon,1956,American
Teenage Rebel,1956,American
The Ten Commandments,1956,American
Tension at Table Rock,1956,American
Terror at Midnight,1956,American
That Certain Feeling,1956,American
There's Always Tomorrow,1956,American
These Wilder Years,1956,American
Three Bad Sisters,1956,American
Three Brave Men,1956,American
The Three Outlaws,1956,American
Thunder Over Arizona,1956,American
Time Table,1956,American
Toward the Unknown,1956,American
The Toy Tiger,1956,American
Tribute to a Bad Man,1956,American
The Unguarded Moment,1956,American
Uranium Boom,1956,American
The Vagabond King,1956,American
The Violent Years,1956,American
Walk the Proud Land,1956,American
War and Peace,1956,American
The Werewolf,1956,American
Westward Ho the Wagons!,1956,American
When Gangland Strikes,1956,American
While the City Sleeps,1956,American
The White Squaw,1956,American
The Wild Party,1956,American
A Woman's Devotion,1956,American
The Women of Pitcairn Island,1956,American
Women Without Men,1956,American
World in My Corner,1956,American
World Without End,1956,American
Written on the Wind,1956,American
The Wrong Man,1956,American
X the Unknown,1956,American
Yaqui Drums,1956,American
You Can't Run Away from It,1956,American
The Young Guns,1956,American
"20,000 Leagues Under the Sea",1954,American
About Mrs. Leslie,1954,American
The Adventures of Hajji Baba,1954,American
Alaska Seas,1954,American
